,日期,天气状况,气温,风力风向
79,2011年03月21日,多云/晴,8℃/-1℃,北风4-5级/北风3-4级
80,2011年03月22日,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
81,2011年03月23日,晴/阴,11℃/1℃,北风3-4级/北风4-5级
82,2011年03月24日,晴/晴,12℃/0℃,北风4-5级/无持续风向≤3级
83,2011年03月25日,晴/晴,12℃/1℃,无持续风向≤3级/无持续风向≤3级
84,2011年03月26日,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
85,2011年03月27日,晴/多云,16℃/2℃,无持续风向≤3级/无持续风向≤3级
86,2011年03月28日,晴/晴,17℃/4℃,无持续风向≤3级/无持续风向≤3级
87,2011年03月29日,晴/晴,19℃/4℃,无持续风向≤3级/无持续风向≤3级
88,2011年03月30日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
89,2011年03月31日,多云/小雨,22℃/7℃,无持续风向≤3级/东北风3-4级
90,2011年04月01日,小雨/小雨,10℃/4℃,无持续风向≤3级/无持续风向≤3级
91,2011年04月02日,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
92,2011年04月03日,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
93,2011年04月04日,晴/晴,20℃/5℃,无持续风向≤3级/无持续风向≤3级
94,2011年04月05日,多云/阴,19℃/9℃,无持续风向≤3级/无持续风向≤3级
95,2011年04月06日,阴/多云,19℃/8℃,无持续风向≤3级/无持续风向≤3级
96,2011年04月07日,多云/晴,19℃/5℃,北风3-4级/北风3-4级
97,2011年04月08日,晴/多云,20℃/7℃,无持续风向≤3级/无持续风向≤3级
98,2011年04月09日,阴/小雨,21℃/11℃,无持续风向≤3级/北风3-4级
99,2011年04月10日,阴/晴,16℃/4℃,北风3-4级/无持续风向≤3级
100,2011年04月11日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
101,2011年04月12日,晴/晴,26℃/9℃,无持续风向≤3级/无持续风向≤3级
102,2011年04月13日,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
103,2011年04月14日,晴/多云,28℃/15℃,无持续风向≤3级/无持续风向≤3级
104,2011年04月15日,晴/晴,25℃/8℃,北风3-4级/无持续风向≤3级
105,2011年04月16日,晴/浮尘,25℃/14℃,西南风3-4级/北风3-4级
106,2011年04月17日,晴/晴,19℃/9℃,北风5-6级/北风4-5级
107,2011年04月18日,晴/晴,21℃/8℃,无持续风向≤3级/无持续风向≤3级
108,2011年04月19日,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
109,2011年04月20日,多云/小雨,25℃/14℃,无持续风向≤3级/无持续风向≤3级
110,2011年04月21日,小雨/晴,17℃/7℃,无持续风向≤3级/无持续风向≤3级
111,2011年04月22日,阴/阴,20℃/8℃,北风3-4级/无持续风向≤3级
112,2011年04月23日,阵雨/晴,18℃/9℃,无持续风向≤3级/无持续风向≤3级
113,2011年04月24日,晴/多云,22℃/11℃,无持续风向≤3级/无持续风向≤3级
114,2011年04月25日,阴/阵雨,18℃/9℃,无持续风向≤3级/无持续风向≤3级
115,2011年04月26日,阵雨/晴,17℃/8℃,无持续风向≤3级/无持续风向≤3级
116,2011年04月27日,阴/多云,23℃/9℃,无持续风向≤3级/无持续风向≤3级
117,2011年04月28日,晴/阴,24℃/12℃,无持续风向≤3级/无持续风向≤3级
118,2011年04月29日,阵雨/阵雨,22℃/12℃,无持续风向≤3级/北风3-4级
119,2011年04月30日,阴/多云,21℃/13℃,北风5-6级/北风4-5级
120,2011年05月01日,晴/多云,25℃/13℃,无持续风向≤3级/无持续风向≤3级
121,2011年05月02日,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
122,2011年05月03日,晴/小雨,24℃/14℃,无持续风向≤3级/无持续风向≤3级
123,2011年05月04日,阵雨/阵雨,19℃/13℃,无持续风向≤3级/无持续风向≤3级
124,2011年05月05日,多云/晴,23℃/13℃,无持续风向≤3级/无持续风向≤3级
125,2011年05月06日,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
126,2011年05月07日,晴/阴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
127,2011年05月08日,中雨/小雨,19℃/12℃,无持续风向≤3级/无持续风向≤3级
128,2011年05月09日,多云/阴,26℃/16℃,无持续风向≤3级/无持续风向≤3级
129,2011年05月10日,晴/多云,26℃/13℃,无持续风向≤3级/无持续风向≤3级
130,2011年05月11日,多云/浮尘,28℃/12℃,北风3-4级/北风5-6级
131,2011年05月12日,晴/晴,23℃/13℃,北风5-6级/北风4-5级
132,2011年05月13日,晴/晴,27℃/15℃,北风3-4级/北风4-5级
133,2011年05月14日,晴/多云,30℃/15℃,无持续风向≤3级/无持续风向≤3级
134,2011年05月15日,多云/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
135,2011年05月16日,晴/晴,28℃/14℃,南风3-4级/无持续风向≤3级
136,2011年05月17日,阴/阴,29℃/16℃,无持续风向≤3级/无持续风向≤3级
137,2011年05月18日,雷阵雨/阴,31℃/17℃,无持续风向≤3级/北风4-5级
138,2011年05月19日,晴/阴,25℃/16℃,无持续风向≤3级/无持续风向≤3级
139,2011年05月20日,多云/多云,23℃/13℃,无持续风向≤3级/无持续风向≤3级
140,2011年05月21日,晴/晴,26℃/12℃,北风3-4级/无持续风向≤3级
141,2011年05月22日,晴/晴,29℃/15℃,无持续风向≤3级/无持续风向≤3级
142,2011年05月23日,晴/晴,31℃/16℃,南风3-4级/无持续风向≤3级
143,2011年05月24日,晴/多云,28℃/18℃,南风3-4级/无持续风向≤3级
144,2011年05月25日,多云/多云,27℃/18℃,南风3-4级/无持续风向≤3级
145,2011年05月26日,阵雨/阵雨,28℃/16℃,无持续风向≤3级/无持续风向≤3级
146,2011年05月27日,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
147,2011年05月28日,晴/多云,33℃/21℃,南风3-4级/无持续风向≤3级
148,2011年05月29日,雷阵雨/雷阵雨,28℃/17℃,无持续风向≤3级/无持续风向≤3级
149,2011年05月30日,多云/晴,30℃/19℃,无持续风向≤3级/无持续风向≤3级
150,2011年05月31日,多云/多云,29℃/18℃,北风3-4级/无持续风向≤3级
151,2011年06月01日,晴/晴,32℃/19℃,无持续风向≤3级/无持续风向≤3级
152,2011年06月02日,多云/阴,35℃/22℃,无持续风向≤3级/无持续风向≤3级
153,2011年06月03日,晴/晴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
154,2011年06月04日,多云/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
155,2011年06月05日,阴/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
156,2011年06月06日,雷阵雨/多云,33℃/20℃,无持续风向≤3级/无持续风向≤3级
157,2011年06月07日,多云/雷阵雨,36℃/21℃,无持续风向≤3级/无持续风向≤3级
158,2011年06月08日,多云/晴,34℃/21℃,无持续风向≤3级/无持续风向≤3级
159,2011年06月09日,多云/多云,34℃/22℃,无持续风向≤3级/无持续风向≤3级
160,2011年06月10日,雷阵雨/雷阵雨,31℃/18℃,无持续风向≤3级/无持续风向≤3级
161,2011年06月11日,雷阵雨/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
162,2011年06月12日,晴/晴,35℃/20℃,无持续风向≤3级/无持续风向≤3级
163,2011年06月13日,晴/多云,35℃/21℃,无持续风向≤3级/无持续风向≤3级
164,2011年06月14日,多云/多云,33℃/23℃,无持续风向≤3级/无持续风向≤3级
165,2011年06月15日,雷阵雨/中雨,32℃/19℃,无持续风向≤3级/无持续风向≤3级
166,2011年06月16日,雷阵雨/雷阵雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
167,2011年06月17日,阴/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级
168,2011年06月18日,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
169,2011年06月19日,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
170,2011年06月20日,多云/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级
171,2011年06月21日,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
172,2011年06月22日,阵雨/阵雨,32℃/21℃,无持续风向≤3级/无持续风向≤3级
173,2011年06月23日,中雨/大雨,28℃/19℃,无持续风向≤3级/无持续风向≤3级
174,2011年06月24日,阵雨/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
175,2011年06月25日,多云/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
176,2011年06月26日,晴/多云,32℃/20℃,无持续风向≤3级/无持续风向≤3级
177,2011年06月27日,多云/阴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
178,2011年06月28日,晴/晴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
179,2011年06月29日,晴/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
180,2011年06月30日,雷阵雨/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
181,2011年07月01日,中到大雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
182,2011年07月02日,中雨/阴,28℃/23℃,无持续风向≤3级/无持续风向≤3级
183,2011年07月03日,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
184,2011年07月04日,晴/阴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
185,2011年07月05日,阴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
186,2011年07月06日,阴/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
187,2011年07月07日,雷阵雨/阴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
188,2011年07月08日,多云/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
189,2011年07月09日,晴/多云,35℃/22℃,无持续风向≤3级/无持续风向≤3级
190,2011年07月10日,阵雨/阴,34℃/23℃,无持续风向≤3级/无持续风向≤3级
191,2011年07月11日,多云/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
192,2011年07月12日,雷阵雨/雷阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
193,2011年07月13日,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
194,2011年07月14日,雷阵雨/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
195,2011年07月15日,雷阵雨/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
196,2011年07月16日,多云/雷阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
197,2011年07月17日,小到中雨/中雨,30℃/20℃,无持续风向≤3级/无持续风向≤3级
198,2011年07月18日,雷阵雨/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
199,2011年07月19日,雷阵雨/小到中雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
200,2011年07月20日,小到中雨/雷阵雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
201,2011年07月21日,雷阵雨/雷阵雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
202,2011年07月22日,雷阵雨/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
203,2011年07月23日,雾/雾,34℃/26℃,无持续风向≤3级/无持续风向≤3级
204,2011年07月24日,大雨/暴雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
205,2011年07月25日,小雨/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
206,2011年07月26日,晴/雷阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
207,2011年07月27日,多云/阴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
208,2011年07月28日,多云/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
209,2011年07月29日,大雨/中雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
210,2011年07月30日,阴/多云,33℃/22℃,无持续风向≤3级/无持续风向≤3级
211,2011年07月31日,晴/多云,35℃/24℃,无持续风向≤3级/无持续风向≤3级
212,2011年08月01日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
213,2011年08月02日,多云/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
214,2011年08月03日,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
215,2011年08月04日,晴/晴,33℃/23℃,无持续风向≤3级/无持续风向≤3级
216,2011年08月05日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
217,2011年08月06日,雷阵雨/阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
218,2011年08月07日,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
219,2011年08月08日,多云/晴,34℃/24℃,无持续风向≤3级/无持续风向≤3级
220,2011年08月09日,雷阵雨/雷阵雨,35℃/24℃,无持续风向≤3级/无持续风向≤3级
221,2011年08月10日,阴/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
222,2011年08月11日,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
223,2011年08月12日,多云/晴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
224,2011年08月13日,阴/阴,33℃/24℃,无持续风向≤3级/无持续风向≤3级
225,2011年08月14日,小到中雨/大到暴雨,30℃/21℃,无持续风向≤3级/无持续风向≤3级
226,2011年08月15日,中雨/小到中雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
227,2011年08月16日,阴/晴,32℃/23℃,无持续风向≤3级/无持续风向≤3级
228,2011年08月17日,雷阵雨/阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
229,2011年08月18日,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
230,2011年08月19日,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
231,2011年08月20日,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
232,2011年08月21日,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
233,2011年08月22日,晴/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
234,2011年08月23日,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
235,2011年08月24日,多云/雷阵雨,29℃/20℃,无持续风向≤3级/无持续风向≤3级
236,2011年08月25日,阵雨/阵雨,27℃/20℃,无持续风向≤3级/无持续风向≤3级
237,2011年08月26日,雷阵雨/雷阵雨,28℃/20℃,无持续风向≤3级/无持续风向≤3级
238,2011年08月27日,雷阵雨/阴,28℃/21℃,无持续风向≤3级/无持续风向≤3级
239,2011年08月28日,多云/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
240,2011年08月29日,晴/多云,32℃/21℃,无持续风向≤3级/无持续风向≤3级
241,2011年08月30日,晴/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
242,2011年08月31日,雷阵雨/中雨,31℃/20℃,无持续风向≤3级/无持续风向≤3级
243,2011年09月01日,多云/晴,28℃/19℃,无持续风向≤3级/无持续风向≤3级
244,2011年09月02日,多云/晴,29℃/20℃,无持续风向≤3级/无持续风向≤3级
245,2011年09月03日,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
246,2011年09月04日,晴/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
247,2011年09月05日,晴/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
248,2011年09月06日,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
249,2011年09月07日,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
250,2011年09月08日,多云/阵雨,24℃/17℃,无持续风向≤3级/无持续风向≤3级
251,2011年09月09日,多云/小雨,24℃/15℃,无持续风向≤3级/无持续风向≤3级
252,2011年09月10日,小雨/阴,19℃/13℃,无持续风向≤3级/无持续风向≤3级
253,2011年09月11日,多云/多云,25℃/16℃,无持续风向≤3级/无持续风向≤3级
254,2011年09月12日,阴/阴,24℃/16℃,无持续风向≤3级/无持续风向≤3级
255,2011年09月13日,多云/雾,24℃/18℃,无持续风向≤3级/无持续风向≤3级
256,2011年09月14日,多云/多云,24℃/18℃,无持续风向≤3级/无持续风向≤3级
257,2011年09月15日,多云/阵雨,25℃/17℃,无持续风向≤3级/无持续风向≤3级
258,2011年09月16日,小雨/阵雨,21℃/14℃,无持续风向≤3级/北风3-4级
259,2011年09月17日,阴/晴,20℃/11℃,无持续风向≤3级/无持续风向≤3级
260,2011年09月18日,晴/多云,21℃/10℃,无持续风向≤3级/无持续风向≤3级
261,2011年09月19日,晴/晴,22℃/10℃,无持续风向≤3级/无持续风向≤3级
262,2011年09月20日,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
263,2011年09月21日,晴/晴,27℃/11℃,无持续风向≤3级/无持续风向≤3级
264,2011年09月22日,晴/晴,28℃/12℃,无持续风向≤3级/无持续风向≤3级
265,2011年09月23日,晴/晴,28℃/13℃,无持续风向≤3级/无持续风向≤3级
266,2011年09月24日,晴/晴,28℃/15℃,无持续风向≤3级/无持续风向≤3级
267,2011年09月25日,晴/晴,27℃/15℃,无持续风向≤3级/无持续风向≤3级
268,2011年09月26日,晴/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
269,2011年09月27日,多云/多云,25℃/17℃,无持续风向≤3级/无持续风向≤3级
270,2011年09月28日,小雨/多云,22℃/16℃,无持续风向≤3级/北风3-4级
271,2011年09月29日,晴/晴,22℃/11℃,北风3-4级/无持续风向≤3级
272,2011年09月30日,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
273,2011年10月01日,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
274,2011年10月02日,晴/晴,21℃/7℃,无持续风向≤3级/无持续风向≤3级
275,2011年10月03日,晴/晴,21℃/8℃,无持续风向微风/无持续风向微风
276,2011年10月04日,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
277,2011年10月05日,晴/晴,25℃/10℃,无持续风向≤3级/无持续风向≤3级
278,2011年10月06日,晴/晴,24℃/10℃,无持续风向≤3级/无持续风向≤3级
279,2011年10月07日,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
280,2011年10月08日,多云/多云,24℃/15℃,无持续风向≤3级/无持续风向≤3级
281,2011年10月09日,多云/雾,23℃/15℃,无持续风向≤3级/无持续风向≤3级
282,2011年10月10日,晴/多云,22℃/13℃,无持续风向≤3级/无持续风向≤3级
283,2011年10月11日,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
284,2011年10月12日,阴/小到中雨,20℃/14℃,无持续风向≤3级/无持续风向≤3级
285,2011年10月13日,阵雨/多云,20℃/11℃,无持续风向≤3级/无持续风向≤3级
286,2011年10月14日,多云/多云,19℃/10℃,北风3-4级/北风3-4级
287,2011年10月15日,晴/晴,20℃/10℃,北风4-5级/北风3-4级
288,2011年10月16日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
289,2011年10月17日,晴/晴,20℃/8℃,无持续风向≤3级/无持续风向≤3级
290,2011年10月18日,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
291,2011年10月19日,多云/多云,19℃/12℃,无持续风向≤3级/无持续风向≤3级
292,2011年10月20日,雾/雾,20℃/12℃,无持续风向≤3级/无持续风向≤3级
293,2011年10月21日,雾/雾,17℃/11℃,无持续风向≤3级/无持续风向≤3级
294,2011年10月22日,晴/阵雨,20℃/13℃,无持续风向≤3级/无持续风向≤3级
295,2011年10月23日,阵雨/多云,16℃/5℃,北风4-5级/北风4-5级
296,2011年10月24日,晴/晴,15℃/2℃,北风3-4级/无持续风向≤3级
297,2011年10月25日,晴/多云,16℃/4℃,无持续风向≤3级/无持续风向≤3级
298,2011年10月26日,小雨/阴,13℃/5℃,无持续风向≤3级/无持续风向≤3级
299,2011年10月27日,晴/晴,16℃/5℃,无持续风向≤3级/无持续风向≤3级
300,2011年10月28日,晴/多云,16℃/6℃,无持续风向≤3级/无持续风向≤3级
301,2011年10月29日,晴/雾,18℃/6℃,无持续风向≤3级/无持续风向≤3级
302,2011年10月30日,多云/雾,17℃/7℃,无持续风向≤3级/无持续风向≤3级
303,2011年10月31日,多云/小雨,15℃/10℃,无持续风向≤3级/无持续风向≤3级
304,2011年11月01日,小雨/阴,15℃/8℃,无持续风向≤3级/无持续风向≤3级
305,2011年11月02日,晴/阴,16℃/9℃,无持续风向≤3级/无持续风向≤3级
306,2011年11月03日,阴/小雨,14℃/9℃,无持续风向≤3级/无持续风向≤3级
307,2011年11月04日,小雨/多云,14℃/9℃,无持续风向≤3级/无持续风向≤3级
308,2011年11月05日,多云/阴,16℃/9℃,无持续风向≤3级/无持续风向≤3级
309,2011年11月06日,多云/多云,15℃/7℃,无持续风向≤3级/无持续风向≤3级
310,2011年11月07日,多云/阴,13℃/8℃,无持续风向≤3级/无持续风向≤3级
311,2011年11月08日,阴/晴,13℃/3℃,无持续风向≤3级/无持续风向≤3级
312,2011年11月09日,晴/晴,14℃/3℃,无持续风向≤3级/无持续风向≤3级
313,2011年11月10日,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
314,2011年11月11日,多云/阴,14℃/7℃,无持续风向≤3级/无持续风向≤3级
